File Name,Resolution,Brand,Interaction Type
bestuy-fs-600x900-tapandhold-storyboard.png,600x900,Unknown,tapandhold
ITC-FS-320x480-SensorySwipe-Storyboard-Rev.png,320x480,Unknown,SensorySwipe
boa_FS_600x900_storyboard.png,600x900,Unknown,Unknown
western-union-philippines_FS_600x900_storyboard.png,600x900,Unknown,Unknown
Amazon-ThirteenLives_FS_600x900-storyboard.png,600x900,Amazon,Unknown
Adludio-Detran_RS-[BR]-[LIVE]-Carnival_24-User_Choice_Quiz-FS-Version_2-Taxi.png,Unknown,Adludio,Unknown
RL-PinkPony-FS-320x480-Sensory-Scrub-Storyboard.png,320x480,Unknown,Sensory-Scrub
Adludio-LEGO-[UK]-[RFP]-Ninjago24-Gamified-FlyingArcade-FS-V2-sb.png,Unknown,Adludio,Unknown
Adludio-Microsoft-[FR]-[LIVE]-Windows_11_version_2-Swipe-MPU-v2.png,Unknown,Adludio,Swipe
Meta_FS_320x480_swipe-storyboard.png,320x480,Meta,swipe
kfc-fs-320x480-sensoryvideo-storyboard.png,320x480,kfc,Unknown
dior-fs-320x480-slider-storyboard.png,320x480,dior,slider
Adludio-Volvo-[UK]-[RFP]-Volvo_Vehicle_Electrification_XC40-Tap-FS-Version_2_AJ.png,Unknown,Adludio,Unknown
chevy-mpu-600x500-hotspot-storyboard.png,600x500,chevy,hotspot
Adludio-Estee_Lauder-[UK]-[LIVE]-luxury_fragrance-cube_flip-MPU-Version_1.png,Unknown,Adludio,cube_flip
Ladbroked_FS_320x480_spinwheel_-storyboard-uk.png,320x480,Unknown,spinwheel
Disney-DrStrange-FS-600x900-UserSlider-Storyboard.png,600x900,Disney,UserSlider
nyle.png,Unknown,Unknown,Unknown
Adludio-google-[UK]-[RFP]-brand_saftey-swipe_left_or_right-FS-v1.png,Unknown,Adludio,swipe
Adludio-CocaCola-[BR]-[LIVE]-ifood-christmas2033-TapAndHold-FS-V3-sb.png,Unknown,Adludio,TapAndHold
